timestamp,xRequestId,matchPath,method,status,path,userAgent
"Feb 22, 2024 @ 18:52:03.724","69d2a960-d170-11ee-87fb-a51c311df2a0","/v22/users/me/rents/:id(\d+)$",DELETE,404,"/v22/users/me/rents/45370223","WeMoScooter/4.11.0 (iOS 16.0.3; iPhone14Pro)"
"Feb 22, 2024 @ 18:52:01.804","68a4b0b0-d170-11ee-949f-eba929615172","/v22/users/me/rents/:id(\d+)$",DELETE,200,"/v22/users/me/rents/45370303","WeMoScooter/4.14.0 (iOS 17.0.3; iPhone12Mini)"
"Feb 22, 2024 @ 18:52:01.119","683db180-d170-11ee-a4fc-1772698914a7","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45370204","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:52:01.067","6839b9e0-d170-11ee-90f5-0d49d3fd4566","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45370204","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:52:01.054","6834b0d0-d170-11ee-949f-eba929615172","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45370204","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:52:01.008","68208c90-d170-11ee-87fb-a51c311df2a0","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45370204","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:52:00.937","682ac5c0-d170-11ee-94c3-1120e9b28dc9","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45370204","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:52:00.930","6829db60-d170-11ee-94c3-1120e9b28dc9","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45370204","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:52:00.909","681baa90-d170-11ee-87fb-a51c311df2a0","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45370204","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:52:00.903","6824f960-d170-11ee-bf87-8f33bdd4a4d5","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45370204","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:52:00.872","6820b3a0-d170-11ee-a3f7-2fe733b2cc84","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45370204","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:52:00.844","681bd1a0-d170-11ee-a3f7-2fe733b2cc84","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45370204","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:52:00.830","6810fc30-d170-11ee-a22f-1ba4c6f85202","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370204","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:52:00.821","68189d50-d170-11ee-a999-bb7c6c00f712","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45370204","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:52:00.814","681764d0-d170-11ee-9c29-61a5292d5039","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45370204","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:52:00.806","6816efa0-d170-11ee-94c3-1120e9b28dc9","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45370204","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:52:00.803","68160540-d170-11ee-a999-bb7c6c00f712","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45370204","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:51:41.413","5c807990-d170-11ee-a999-bb7c6c00f712","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370507","WeMoScooter/4.16.1 (iOS 16.7.2; iPhone13Pro)"
"Feb 22, 2024 @ 18:51:36.455","598b7c80-d170-11ee-a4fc-1772698914a7","/v21/users/me/rents/:id(\d+)$",DELETE,200,"/v21/users/me/rents/45370320","WeMoScooter/4.8.0 (iOS 17.2.1; unrecognized)"
"Feb 22, 2024 @ 18:51:30.139","55c7bdc0-d170-11ee-a999-bb7c6c00f712","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370396","WeMoScooter/4.16.1 (iOS 16.1.1; iPhoneXS)"
"Feb 22, 2024 @ 18:51:23.272","5189ed00-d170-11ee-a7f5-5ffdfbacedec","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370528","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone12ProMax)"
"Feb 22, 2024 @ 18:51:20.203","4fd18ea0-d170-11ee-a7f5-5ffdfbacedec","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370584","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone14ProMax)"
"Feb 22, 2024 @ 18:51:18.597","4e7707b0-d170-11ee-949f-eba929615172","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370268","WeMoScooter/4.15.0 (Android 13; Manufacturer: vivo, MarketName: V2130, Model: V2130, Codename: 2130, DeviceName: V2130)"
"Feb 22, 2024 @ 18:51:17.987","4e5527d0-d170-11ee-949f-eba929615172","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370269","WeMoScooter/4.16.1 (iOS 17.0.3; iPhone15Pro)"
"Feb 22, 2024 @ 18:51:17.681","4e563940-d170-11ee-90f5-0d49d3fd4566","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370269","WeMoScooter/4.16.1 (iOS 17.0.3; iPhone15Pro)"
"Feb 22, 2024 @ 18:51:17.666","4e53c840-d170-11ee-bf87-8f33bdd4a4d5","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370269","WeMoScooter/4.16.1 (iOS 17.0.3; iPhone15Pro)"
"Feb 22, 2024 @ 18:51:15.521","4d0f1340-d170-11ee-a3f7-2fe733b2cc84","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370514","WeMoScooter/4.16.1 (iOS 16.1.1; iPhone14Pro)"
"Feb 22, 2024 @ 18:51:09.664","491b6ae0-d170-11ee-949f-eba929615172","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370332","WeMoScooter/4.16.1 (iOS 16.2; iPhone13ProMax)"
"Feb 22, 2024 @ 18:51:04.383","46626560-d170-11ee-b9f9-e703d98fd1ab","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370404","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone12Pro)"
"Feb 22, 2024 @ 18:50:53.356","3fd8f6f0-d170-11ee-a22f-1ba4c6f85202","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370435","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone15Pro)"
"Feb 22, 2024 @ 18:50:35.507","35380470-d170-11ee-a22f-1ba4c6f85202","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370569","WeMoScooter/4.16.1 (iOS 16.6.1; iPhone14)"
"Feb 22, 2024 @ 18:50:34.885","34cff3d0-d170-11ee-a3f7-2fe733b2cc84","/v21/users/me/rents/:id(\d+)$",DELETE,200,"/v21/users/me/rents/45370430","WeMoScooter/4.8.0 (iOS 16.5.1; iPhone13)"
"Feb 22, 2024 @ 18:50:30.704","3258b240-d170-11ee-b9f9-e703d98fd1ab","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370469","WeMoScooter/4.15.0 (iOS 16.7.1; iPhone12ProMax)"
"Feb 22, 2024 @ 18:50:28.536","310c3510-d170-11ee-87fb-a51c311df2a0","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370447","WeMoScooter/4.15.0 (iOS 14.2; iPhone8Plus)"
"Feb 22, 2024 @ 18:50:22.140","2d30cfa0-d170-11ee-a22f-1ba4c6f85202","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370387","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone14)"
"Feb 22, 2024 @ 18:50:20.676","2c397750-d170-11ee-949f-eba929615172","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370157","WeMoScooter/4.16.1 (iOS 16.3.1; iPhone12Mini)"
"Feb 22, 2024 @ 18:50:18.868","2b494af0-d170-11ee-80c0-d551e4e9b4c5","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370501","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone11)"
"Feb 22, 2024 @ 18:50:13.811","284f44d0-d170-11ee-a3f7-2fe733b2cc84","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45369854","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:50:13.808","284f92f0-d170-11ee-a4fc-1772698914a7","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45369854","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:50:13.800","284e3360-d170-11ee-a3f7-2fe733b2cc84","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45369854","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:50:13.796","284e3360-d170-11ee-a7f5-5ffdfbacedec","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45369854","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:50:13.621","2832bc20-d170-11ee-bf87-8f33bdd4a4d5","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45369854","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:50:11.436","26dec4e0-d170-11ee-94c3-1120e9b28dc9","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370453","WeMoScooter/4.15.0 (iOS 16.4.1; iPhone11)"
"Feb 22, 2024 @ 18:50:11.274","26bee0d0-d170-11ee-8ba8-3fab3c9b8b36","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370356","WeMoScooter/4.15.0 (Android 14; Manufacturer: samsung, MarketName: SM-A5360, Model: SM-A5360, Codename: a53x, DeviceName: SM-A5360)"
